id_fonte_observacao,id_usina,data_hora_observacao,valor,status
Consis,BAUFI1,2025-05-20T20:00:00Z,0,1
Consis,BAUFI1,2025-05-20T20:30:00Z,0,1
Consis,BAUFI1,2025-05-20T21:00:00Z,0,1
Consis,BAUFI1,2025-05-20T21:30:00Z,0,1
Consis,BAUFI1,2025-05-20T22:00:00Z,0,1
Consis,BAUFI1,2025-05-20T22:30:00Z,0,1
Consis,BAUFI1,2025-05-20T23:00:00Z,0,1
Consis,BAUFI1,2025-05-20T23:30:00Z,0,1
Consis,BAUFI1,2025-05-21T00:00:00Z,0,1
Consis,BAUFI1,2025-05-21T00:30:00Z,0,1
Consis,BAUFI1,2025-05-21T01:00:00Z,0,1
Consis,BAUFI1,2025-05-21T01:30:00Z,0,1
Consis,BAUFI1,2025-05-21T02:00:00Z,0,1
Consis,BAUFI1,2025-05-21T02:30:00Z,0,1
Consis,BAUFI1,2025-05-21T03:00:00Z,0,1
Consis,BAUFI1,2025-05-21T03:30:00Z,0,1
Consis,BAUFI1,2025-05-21T04:00:00Z,0,1
Consis,BAUFI1,2025-05-21T04:30:00Z,0,1
Consis,BAUFI1,2025-05-21T05:00:00Z,0,1
Consis,BAUFI1,2025-05-21T05:30:00Z,0.001,1
Consis,BAUFI1,2025-05-21T06:00:00Z,0.414,1
Consis,BAUFI1,2025-05-21T06:30:00Z,4.203,1
Consis,BAUFI1,2025-05-21T07:00:00Z,11.196,1
Consis,BAUFI1,2025-05-21T07:30:00Z,17.05,1
Consis,BAUFI1,2025-05-21T08:00:00Z,21.104,1
Consis,BAUFI1,2025-05-21T08:30:00Z,21.958,1
Consis,BAUFI1,2025-05-21T09:00:00Z,23.122,1
Consis,BAUFI1,2025-05-21T09:30:00Z,,1
Consis,BAUFI1,2025-05-21T10:00:00Z,,1
Consis,BAUFI1,2025-05-21T10:30:00Z,,1
Consis,BAUFI1,2025-05-21T11:00:00Z,,1
Consis,BAUFI1,2025-05-21T11:30:00Z,,1
Consis,BAUFI1,2025-05-21T12:00:00Z,,1
Consis,BAUFI1,2025-05-21T12:30:00Z,,1
Consis,BAUFI1,2025-05-21T13:00:00Z,,1
Consis,BAUFI1,2025-05-21T13:30:00Z,,1
Consis,BAUFI1,2025-05-21T14:00:00Z,23.006,1
Consis,BAUFI1,2025-05-21T14:30:00Z,23.663,1
Consis,BAUFI1,2025-05-21T15:00:00Z,22.073,1
Consis,BAUFI1,2025-05-21T15:30:00Z,20.762,1
Consis,BAUFI1,2025-05-21T16:00:00Z,13.969,1
Consis,BAUFI1,2025-05-21T16:30:00Z,5.78,1
Consis,BAUFI1,2025-05-21T17:00:00Z,1.746,1
Consis,BAUFI1,2025-05-21T17:30:00Z,0.039,1
Consis,BAUFI1,2025-05-21T18:00:00Z,0,1
Consis,BAUFI1,2025-05-21T18:30:00Z,0,1
Consis,BAUFI1,2025-05-21T19:00:00Z,0,1
Consis,BAUFI1,2025-05-21T19:30:00Z,0,1
Consis,BAUFI1,2025-05-21T20:00:00Z,0,1
Consis,BAUFI1,2025-05-21T20:30:00Z,0,1
Consis,BAUFI1,2025-05-21T21:00:00Z,0,1
Consis,BAUFI1,2025-05-21T21:30:00Z,0,1
Consis,BAUFI1,2025-05-21T22:00:00Z,0,1
Consis,BAUFI1,2025-05-21T22:30:00Z,0,1
Consis,BAUFI1,2025-05-21T23:00:00Z,0,1
Consis,BAUFI1,2025-05-21T23:30:00Z,0,1
Consis,BAUFI1,2025-05-22T00:00:00Z,0,1
Consis,BAUFI1,2025-05-22T00:30:00Z,0,1
Consis,BAUFI1,2025-05-22T01:00:00Z,0,1
Consis,BAUFI1,2025-05-22T01:30:00Z,0,1
Consis,BAUFI1,2025-05-22T02:00:00Z,0,1
Consis,BAUFI1,2025-05-22T02:30:00Z,0,1
Consis,BAUFI1,2025-05-22T03:00:00Z,0,1
Consis,BAUFI1,2025-05-22T03:30:00Z,0,1
Consis,BAUFI1,2025-05-22T04:00:00Z,0,1
Consis,BAUFI1,2025-05-22T04:30:00Z,0,1
Consis,BAUFI1,2025-05-22T05:00:00Z,0,1
Consis,BAUFI1,2025-05-22T05:30:00Z,0,1
Consis,BAUFI1,2025-05-22T06:00:00Z,0.302,1
Consis,BAUFI1,2025-05-22T06:30:00Z,4.059,1
Consis,BAUFI1,2025-05-22T07:00:00Z,8.996,1
Consis,BAUFI1,2025-05-22T07:30:00Z,,1
Consis,BAUFI1,2025-05-22T08:00:00Z,,1
Consis,BAUFI1,2025-05-22T08:30:00Z,,1
Consis,BAUFI1,2025-05-22T09:00:00Z,,1
Consis,BAUFI1,2025-05-22T09:30:00Z,,1
Consis,BAUFI1,2025-05-22T10:00:00Z,,1
Consis,BAUFI1,2025-05-22T10:30:00Z,,1
Consis,BAUFI1,2025-05-22T11:00:00Z,,1
Consis,BAUFI1,2025-05-22T11:30:00Z,24.435,1
Consis,BAUFI1,2025-05-22T12:00:00Z,23.283,1
Consis,BAUFI1,2025-05-22T12:30:00Z,23.818,1
Consis,BAUFI1,2025-05-22T13:00:00Z,24.402,1
Consis,BAUFI1,2025-05-22T13:30:00Z,22.78,1
Consis,BAUFI1,2025-05-22T14:00:00Z,22.935,1
Consis,BAUFI1,2025-05-22T14:30:00Z,23.196,1
Consis,BAUFI1,2025-05-22T15:00:00Z,21.803,1
Consis,BAUFI1,2025-05-22T15:30:00Z,21.151,1
Consis,BAUFI1,2025-05-22T16:00:00Z,16.226,1
Consis,BAUFI1,2025-05-22T16:30:00Z,8.259,1
Consis,BAUFI1,2025-05-22T17:00:00Z,1.649,1
Consis,BAUFI1,2025-05-22T17:30:00Z,0.031,1
Consis,BAUFI1,2025-05-22T18:00:00Z,0,1
Consis,BAUFI1,2025-05-22T18:30:00Z,0,1
Consis,BAUFI1,2025-05-22T19:00:00Z,0,1
Consis,BAUFI1,2025-05-22T19:30:00Z,0,1
Consis,BAUFI1,2025-05-22T20:00:00Z,0,1
Consis,BAUFI1,2025-05-22T20:30:00Z,0,1
Consis,BAUFI1,2025-05-22T21:00:00Z,0,1
Consis,BAUFI1,2025-05-22T21:30:00Z,0,1
Consis,BAUFI1,2025-05-22T22:00:00Z,0,1
Consis,BAUFI1,2025-05-22T22:30:00Z,0,1
Consis,BAUFI1,2025-05-22T23:00:00Z,0,1
Consis,BAUFI1,2025-05-22T23:30:00Z,0,1
Consis,BAUFI1,2025-05-23T00:00:00Z,0,1
Consis,BAUFI1,2025-05-23T00:30:00Z,0,1
Consis,BAUFI1,2025-05-23T01:00:00Z,0,1
Consis,BAUFI1,2025-05-23T01:30:00Z,0,1
Consis,BAUFI1,2025-05-23T02:00:00Z,0,1
Consis,BAUFI1,2025-05-23T02:30:00Z,0,1
