id_fonte_observacao,id_usina,data_hora_observacao,valor,status
PI,BAUFI1,2025-06-05T07:30:00Z,15.482,
PI,BAUFI1,2025-06-05T08:00:00Z,15.713,
PI,BAUFI1,2025-06-05T08:30:00Z,12.275,
PI,BAUFI1,2025-06-05T09:00:00Z,12.034,
PI,BAUFI1,2025-06-05T09:30:00Z,11.84,
PI,BAUFI1,2025-06-05T10:00:00Z,12.144,
PI,BAUFI1,2025-06-05T10:30:00Z,13.181,
PI,BAUFI1,2025-06-05T11:00:00Z,14.198,
PI,BAUFI1,2025-06-05T11:30:00Z,16.888,
PI,BAUFI1,2025-06-05T12:00:00Z,17.384,
PI,BAUFI1,2025-06-05T12:30:00Z,17.896,
PI,BAUFI1,2025-06-05T13:00:00Z,19.954,
PI,BAUFI1,2025-06-05T13:30:00Z,21.333,
PI,BAUFI1,2025-06-05T14:00:00Z,19.145,
PI,BAUFI1,2025-06-05T14:30:00Z,16.847,
PI,BAUFI1,2025-06-05T15:00:00Z,15.935,
PI,BAUFI1,2025-06-05T15:30:00Z,11.592,
PI,BAUFI1,2025-06-05T16:00:00Z,8.463,
PI,BAUFI1,2025-06-05T16:30:00Z,4.083,
PI,BAUFI1,2025-06-05T17:00:00Z,1.11,
PI,BAUFI1,2025-06-05T17:30:00Z,0.156,
PI,BAUFI1,2025-06-05T18:00:00Z,0,
PI,BAUFI1,2025-06-05T18:30:00Z,0,
PI,BAUFI1,2025-06-05T19:00:00Z,0,
PI,BAUFI1,2025-06-05T19:30:00Z,0,
PI,BAUFI1,2025-06-05T20:00:00Z,0,
PI,BAUFI1,2025-06-05T20:30:00Z,0,
PI,BAUFI1,2025-06-05T21:00:00Z,0,
PI,BAUFI1,2025-06-05T21:30:00Z,0,
PI,BAUFI1,2025-06-05T22:00:00Z,0,
PI,BAUFI1,2025-06-05T22:30:00Z,0,
PI,BAUFI1,2025-06-05T23:00:00Z,0,
PI,BAUFI1,2025-06-05T23:30:00Z,0,
PI,BAUFI1,2025-06-06T00:00:00Z,0,
PI,BAUFI1,2025-06-06T00:30:00Z,0,
PI,BAUFI1,2025-06-06T01:00:00Z,0,
PI,BAUFI1,2025-06-06T01:30:00Z,0,
PI,BAUFI1,2025-06-06T02:00:00Z,0,
PI,BAUFI1,2025-06-06T02:30:00Z,0,
PI,BAUFI1,2025-06-06T03:00:00Z,0,
PI,BAUFI1,2025-06-06T03:30:00Z,0,
PI,BAUFI1,2025-06-06T04:00:00Z,0,
PI,BAUFI1,2025-06-06T04:30:00Z,0,
PI,BAUFI1,2025-06-06T05:00:00Z,0,
PI,BAUFI1,2025-06-06T05:30:00Z,0,
PI,BAUFI1,2025-06-06T06:00:00Z,0.193,
PI,BAUFI1,2025-06-06T06:30:00Z,0.261,
PI,BAUFI1,2025-06-06T07:00:00Z,0,
PI,BAUFI1,2025-06-06T07:30:00Z,0,
PI,BAUFI1,2025-06-06T08:00:00Z,0,
PI,BAUFI1,2025-06-06T08:30:00Z,0,
PI,BAUFI1,2025-06-06T09:00:00Z,0,
PI,BAUFI1,2025-06-06T09:30:00Z,2.43,
PI,BAUFI1,2025-06-06T10:00:00Z,24.005,
PI,BAUFI1,2025-06-06T10:30:00Z,23.805,
PI,BAUFI1,2025-06-06T11:00:00Z,24.029,
PI,BAUFI1,2025-06-06T11:30:00Z,23.903,
PI,BAUFI1,2025-06-06T12:00:00Z,24.046,
PI,BAUFI1,2025-06-06T12:30:00Z,23.877,
PI,BAUFI1,2025-06-06T13:00:00Z,23.953,
PI,BAUFI1,2025-06-06T13:30:00Z,24.128,
PI,BAUFI1,2025-06-06T14:00:00Z,23.296,
PI,BAUFI1,2025-06-06T14:30:00Z,22.716,
PI,BAUFI1,2025-06-06T15:00:00Z,21.74,
PI,BAUFI1,2025-06-06T15:30:00Z,21.246,
PI,BAUFI1,2025-06-06T16:00:00Z,12.061,
PI,BAUFI1,2025-06-06T16:30:00Z,4.682,
